PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
E0-06-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Black),Generic,https://i.ebayimg.com/images/g/j9sAAOSwXhlk3cuJ/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,,,2.5,Cables & Chargers
E0-09-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Blue),Generic,https://i.ebayimg.com/images/g/qkMAAOSwq25k3ctf/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,,,2.5,Cables & Chargers
E0-10-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Pink),Generic,https://i.ebayimg.com/images/g/qmAAAOSwWJlk3ct4/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,,,2.5,Cables & Chargers
E0-07-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Silver),Generic,https://i.ebayimg.com/images/g/6E4AAOSwGb1k3cub/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,,,2.5,Cables & Chargers
E0-08-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Gold),Generic,https://i.ebayimg.com/images/g/l94AAOSwfaRk3cvL/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,,,2.5,Cables & Chargers
E0-06-07,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Light Pink),Generic,https://i.ebayimg.com/images/g/EWMAAOSwsbRk3cvA/s-l1600.jpg| https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,,,2.5,Cables & Chargers
B4-03-05-A,USAMS Car Phone Holder Clip Mount 360° Air Vent Adjustable For Universal - White,USAMS,https://i.ebayimg.com/images/g/JcAAAOSwoIdmmf02/s-l1600.jpg | https://i.ebayimg.com/images/g/iY4AAOSwxAxmmfz6/s-l1600.jpg | https://i.ebayimg.com/images/g/GpYAAOSwdMZmmfz9/s-l1600.jpg | https://i.ebayimg.com/images/g/s-UAAOSwJAZmmfz-/s-l1600.jpg | https://i.ebayimg.com/images/g/r38AAOSw20tmmfz-/s-l1600.jpg | https://i.ebayimg.com/images/g/bw4AAOSwzPBmmfz~/s-l1600.jpg,,19.9,4.0,Cables & Chargers
B4-03-05-B,USAMS Phone Holder Non-Slip 360 Degree Rotation Universal Handlebar Mounted Navigation Phone Bracket For Bicycle Bike Motorcycle,USAMS,https://i.ebayimg.com/images/g/b64AAOSwBwRmmgE2/s-l1600.webp | https://i.ebayimg.com/images/g/xkMAAOSwXHRmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/qO4AAOSwmTRmjjfE/s-l1600.webp | https://i.ebayimg.com/images/g/8E4AAOSwORFmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/dokAAOSwwBdmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/BT4AAOSw~LNmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/RGoAAOSwoCtmjjfD/s-l1600.webp ,,18.9,4.0,Cables & Chargers
B4-04-05,USAMS Gravity Car Phone Holder Air Vent Grip Mount For iPhone 15 14 Samsung,USAMS,https://i.ebayimg.com/images/g/eikAAOSwRX5mmgi5/s-l1600.webp | https://i.ebayimg.com/images/g/AU8AAOSwbKZmmgcP/s-l1600.webp | https://i.ebayimg.com/images/g/2zcAAOSw-JNmmgcP/s-l1600.webp | https://i.ebayimg.com/images/g/rNUAAOSwG~ZmmgcQ/s-l1600.webp | https://i.ebayimg.com/images/g/xHoAAOSwuMNmmgcQ/s-l1600.webp | https://i.ebayimg.com/images/g/ydwAAOSw0fNmmgcQ/s-l1600.webp | https://i.ebayimg.com/images/g/HokAAOSwHadmmgcP/s-l1600.webp | https://i.ebayimg.com/images/g/T10AAOSwLZVmmgcQ/s-l1600.webp ,,29.9,4.0,Cables & Chargers
B4-05-05,USAMS Car Phone Holder Mount Vent Grip Lock 360° Rotation For iPhone Samsung,USAMS,https://i.ebayimg.com/images/g/olkAAOSw0mpmmgxq/s-l1600.webp | https://i.ebayimg.com/images/g/QCUAAOSwi5hmmgxo/s-l1600.webp | https://i.ebayimg.com/images/g/XYgAAOSwa~tmmgxl/s-l1600.webp | https://i.ebayimg.com/images/g/v8EAAOSw6X1mmgxl/s-l1600.webp | https://i.ebayimg.com/images/g/4cIAAOSwmaBmmgxm/s-l1600.webp | https://i.ebayimg.com/images/g/XEIAAOSw-RBmmgxm/s-l1600.webp | https://i.ebayimg.com/images/g/gyMAAOSwQXNmmgxr/s-l1600.webp ,,29.9,4.0,Cables & Chargers
B4-06-06,USAMS E-Reading LED Light Bar Screen Desk Computer Monitor Reading Lamp Office,USAMS,https://i.ebayimg.com/images/g/HSMAAOSwhJJmmhN8/s-l1600.webp | https://i.ebayimg.com/images/g/IxgAAOSw7D1mmhH5/s-l1600.webp | https://i.ebayimg.com/images/g/0KgAAOSwW-lmmhH5/s-l1600.webp | https://i.ebayimg.com/images/g/Ah8AAOSwbHxmmhH5/s-l1600.webp | https://i.ebayimg.com/images/g/D7cAAOSwHG9mmhH5/s-l1600.webp | https://i.ebayimg.com/images/g/wFMAAOSwXiJmmhH5/s-l1600.webp,,49.9,4.0,Cables & Chargers
C1-01-06-A,"USAMS 100W USB Type-C To Type-C Fast Charging Cable Data Cord For Samsung MacBook (Black,1.2M)",USAMS,https://i.ebayimg.com/images/g/5TkAAOSw149lDRXy/s-l1600.jpg | https://i.ebayimg.com/images/g/63sAAOSwpN9lDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/Bk0AAOSwPAdlDRUP/s-l1600.jpg | https://i.ebayimg.com/images/g/DlYAAOSwCBNlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/8mEAAOSw89VlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/SxkAAOSwASJlDRUN/s-l1600.jpg,1.2m,,4.0,Cables & Chargers
C5-08-07-A,"USAMS 100W USB Type-C To Type-C Fast Charging Cable Data Cord For Samsung MacBook (Black,2M)",USAMS,https://i.ebayimg.com/images/g/5TkAAOSw149lDRXy/s-l1600.jpg | https://i.ebayimg.com/images/g/63sAAOSwpN9lDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/Bk0AAOSwPAdlDRUP/s-l1600.jpg | https://i.ebayimg.com/images/g/DlYAAOSwCBNlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/8mEAAOSw89VlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/SxkAAOSwASJlDRUN/s-l1600.jpg,2m,,4.0,Cables & Chargers
C1-02-03-B,"USAMS 100W USB Type-C To Type-C Fast Charging Cable Data Cord For Samsung MacBook (Silver,1.2M)",USAMS,https://i.ebayimg.com/images/g/bDEAAOSwN~hlDRX0/s-l1600.jpg | https://i.ebayimg.com/images/g/63sAAOSwpN9lDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/Bk0AAOSwPAdlDRUP/s-l1600.jpg | https://i.ebayimg.com/images/g/DlYAAOSwCBNlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/8mEAAOSw89VlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/SxkAAOSwASJlDRUN/s-l1600.jpg,1.2m,,4.0,Cables & Chargers
C1-08-05-B,"USAMS 100W USB Type-C To Type-C Fast Charging Cable Data Cord For Samsung MacBook (Silver,1.2M)",USAMS,https://i.ebayimg.com/images/g/bDEAAOSwN~hlDRX0/s-l1600.jpg | https://i.ebayimg.com/images/g/63sAAOSwpN9lDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/Bk0AAOSwPAdlDRUP/s-l1600.jpg | https://i.ebayimg.com/images/g/DlYAAOSwCBNlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/8mEAAOSw89VlDRUN/s-l1600.jpg | https://i.ebayimg.com/images/g/SxkAAOSwASJlDRUN/s-l1600.jpg,2m,,4.0,Cables & Chargers
C2-03-05-B,USAMS 120W 4 Port USB & Type C Fast Car Charger USB Quick Phone Charger QC3.0 Adapter (Black),USAMS,https://i.ebayimg.com/images/g/mz8AAOSwLPRlC-4J/s-l1600.jpg | https://i.ebayimg.com/images/g/O9gAAOSwMCNlC-4K/s-l1600.jpg | https://i.ebayimg.com/images/g/L3kAAOSwqr1lC-4K/s-l1600.jpg | https://i.ebayimg.com/images/g/eZMAAOSweHdlC-4M/s-l1600.jpg | https://i.ebayimg.com/images/g/n9UAAOSwD9tlC-4M/s-l1600.jpg,Black,,4.0,Cables & Chargers
C2-03-05-A,USAMS 120W 4 Port USB & Type C Fast Car Charger USB Quick Phone Charger QC3.0 Adapter (Blue),USAMS,https://i.ebayimg.com/images/g/Ni8AAOSwiUtlC-4k/s-l1600.jpg | https://i.ebayimg.com/images/g/O9gAAOSwMCNlC-4K/s-l1600.jpg | https://i.ebayimg.com/images/g/L3kAAOSwqr1lC-4K/s-l1600.jpg | https://i.ebayimg.com/images/g/eZMAAOSweHdlC-4M/s-l1600.jpg | https://i.ebayimg.com/images/g/n9UAAOSwD9tlC-4M/s-l1600.jpg,Blue,,4.0,Cables & Chargers
C2-03-04-B,USAMS 12W Universal International Travel Plug 3 USB Power Adapter (US/AU/EU/UK),USAMS,https://i.ebayimg.com/images/g/W9QAAOSwdb9lC-e0/s-l1600.jpg | https://i.ebayimg.com/images/g/c4QAAOSwoqdlC-eM/s-l1600.jpg | https://i.ebayimg.com/images/g/-oYAAOSwGfplC-eN/s-l1600.jpg | https://i.ebayimg.com/images/g/JyMAAOSwAYRlC-eN/s-l1600.jpg | https://i.ebayimg.com/images/g/p5kAAOSwPS9lC-eN/s-l1600.jpg | https://i.ebayimg.com/images/g/Pl0AAOSwjvJlC-eM/s-l1600.jpg,,,4.0,Cables & Chargers
C5-05-02,USAMS 15W Fast Air Vent Car Mount Holder Wireless Charging Magnetic Charger For iPhone MagSafe,USAMS,https://i.ebayimg.com/images/g/2RkAAOSwqu1lDPCd/s-l1600.jpg | https://i.ebayimg.com/images/g/noQAAOSw2gplMiK5/s-l1600.jpg | https://i.ebayimg.com/images/g/WjEAAOSw-FZlDPCd/s-l1600.jpg | https://i.ebayimg.com/images/g/JrwAAOSwPL1lDPCe/s-l1600.jpg | https://i.ebayimg.com/images/g/Vj8AAOSwahFlDPCd/s-l1600.jpg | https://i.ebayimg.com/images/g/ZhgAAOSwOMVlDPCd/s-l1600.jpg | https://i.ebayimg.com/images/g/oV4AAOSwHFllDPCe/s-l1600.jpg,,,4.0,Cables & Chargers
C1-05-04-A,"USAMS 2 in 1 Magnetic Fast Charging Cable Cord Charger For Type-C iPhone Samsung (Blue, 1.2m)",USAMS,https://i.ebayimg.com/images/g/Mw4AAOSwWXtlJN7Q/s-l1600.jpg | https://i.ebayimg.com/images/g/Z5AAAOSw2-tlDURY/s-l1600.jpg | https://i.ebayimg.com/images/g/fc8AAOSwtN5lDURX/s-l1600.jpg | https://i.ebayimg.com/images/g/oc8AAOSwXF1lDURY/s-l1600.jpg | https://i.ebayimg.com/images/g/W8YAAOSwCSFlDURY/s-l1600.jpg | https://i.ebayimg.com/images/g/hBMAAOSwl~tlJN6g/s-l1600.jpg,,,4.0,Cables & Chargers
C1-05-04-A.,"USAMS 2 in 1 Magnetic Fast Charging Cable Cord Charger For Type-C iPhone Samsung (Black, 2m)",USAMS,https://i.ebayimg.com/images/g/~wgAAOSwDfplJN7K/s-l1600.jpg | https://i.ebayimg.com/images/g/Z5AAAOSw2-tlDURY/s-l1600.jpg | https://i.ebayimg.com/images/g/fc8AAOSwtN5lDURX/s-l1600.jpg | https://i.ebayimg.com/images/g/oc8AAOSwXF1lDURY/s-l1600.jpg | https://i.ebayimg.com/images/g/W8YAAOSwCSFlDURY/s-l1600.jpg | https://i.ebayimg.com/images/g/hBMAAOSwl~tlJN6g/s-l1600.jpg,,,4.0,Cables & Chargers
C1-08-02,USAMS 3 in 1 Fast USB Charging Cable Multi Charger Cord Type C Micro USB iPhone (0.35m),USAMS,https://i.ebayimg.com/images/g/oTgAAOSwB-NlDmn-/s-l500.jpg | https://i.ebayimg.com/images/g/0LgAAOSwc2FlDmn4/s-l500.jpg | https://i.ebayimg.com/images/g/aiQAAOSwNaJlDmn5/s-l500.jpg | https://i.ebayimg.com/images/g/b58AAOSwiM5lDmny/s-l1600.jpg,,,4.0,Cables & Chargers
C1-08-01,USAMS 4 in 1 Fast USB Charging Cable Multi Phone Charger Cord Type C Micro USB iPhone (0.35m),USAMS,https://i.ebayimg.com/images/g/oakAAOSw~Y5lEPTb/s-l1600.jpg | https://i.ebayimg.com/images/g/wwkAAOSwUS1lMiat/s-l1600.jpg | https://i.ebayimg.com/images/g/Ow0AAOSwDPJlEPTb/s-l1600.jpg | https://i.ebayimg.com/images/g/xi4AAOSwgo5lEPTb/s-l1600.jpg | https://i.ebayimg.com/images/g/VEYAAOSweZFlEPTb/s-l1600.jpg | https://i.ebayimg.com/images/g/caAAAOSw-AplEPTb/s-l1600.jpg,,,4.0,Cables & Chargers
C5-04-07,USAMS 50W Fast Charging Car Charger PD USB Type C Cigarette Lighter Adapter,USAMS,https://i.ebayimg.com/images/g/CVgAAOSwYv1ln4x1/s-l1600.jpg | https://i.ebayimg.com/images/g/APUAAOSwS6NlC~v0/s-l1600.jpg | https://i.ebayimg.com/images/g/BUEAAOSw4l5lJ4En/s-l1600.jpg | https://i.ebayimg.com/images/g/4GEAAOSw~HNlJ4En/s-l1600.jpg | https://i.ebayimg.com/images/g/AasAAOSwmpJlJ4En/s-l1600.jpg | https://i.ebayimg.com/images/g/xmYAAOSwgCBlJ4En/s-l1600.jpg,,,4.0,Cables & Chargers
C5-08-01,USAMS Adjustable Folding Desk Mobile Phone Stand Mount Holder For iPhone iPad (Black),USAMS,https://i.ebayimg.com/images/g/rLcAAOSwWK5lDPrg/s-l1600.jpg | https://i.ebayimg.com/images/g/l9sAAOSwnkFlMicP/s-l1600.jpg | https://i.ebayimg.com/images/g/wFkAAOSwV7hlMidE/s-l1600.jpg | https://i.ebayimg.com/images/g/WywAAOSwSZNlMidE/s-l1600.jpg | https://i.ebayimg.com/images/g/42kAAOSwAnplMidF/s-l1600.jpg | https://i.ebayimg.com/images/g/nGUAAOSwDgdlMidF/s-l1600.jpg,Black,,4.0,Cables & Chargers
C5-07-01,USAMS Adjustable Folding Desk Mobile Phone Stand Mount Holder For iPhone iPad (White),USAMS,https://i.ebayimg.com/images/g/n9sAAOSwaDNlDPrm/s-l1600.jpg | https://i.ebayimg.com/images/g/l9sAAOSwnkFlMicP/s-l1600.jpg | https://i.ebayimg.com/images/g/wFkAAOSwV7hlMidE/s-l1600.jpg | https://i.ebayimg.com/images/g/WywAAOSwSZNlMidE/s-l1600.jpg | https://i.ebayimg.com/images/g/42kAAOSwAnplMidF/s-l1600.jpg | https://i.ebayimg.com/images/g/nGUAAOSwDgdlMidF/s-l1600.jpg,White,,4.0,Cables & Chargers
C5-06-06-B,USAMS Braided USB To Lightning Charging Cable Charger Data Cord For iPhone iPad Airpods (Black),USAMS,https://i.ebayimg.com/images/g/PqgAAOSw8BNlDSSZ/s-l1600.jpg | https://i.ebayimg.com/images/g/PLkAAOSwI19lDSR6/s-l1600.jpg | https://i.ebayimg.com/images/g/nfcAAOSw9QVlDSR3/s-l1600.jpg | https://i.ebayimg.com/images/g/wskAAOSwCo1lDSR6/s-l1600.jpg | https://i.ebayimg.com/images/g/aMMAAOSwzYplDSR5/s-l1600.jpg | https://i.ebayimg.com/images/g/i1oAAOSwN~hlDSR4/s-l1600.jpg,Black,,4.0,Cables & Chargers
C1-07-06-A,USAMS Braided USB To Lightning Charging Cable Charger Data Cord For iPhone iPad Airpods (Silver),USAMS,https://i.ebayimg.com/images/g/bt0AAOSw5kllDSSd/s-l1600.jpg | https://i.ebayimg.com/images/g/PLkAAOSwI19lDSR6/s-l1600.jpg | https://i.ebayimg.com/images/g/nfcAAOSw9QVlDSR3/s-l1600.jpg | https://i.ebayimg.com/images/g/wskAAOSwCo1lDSR6/s-l1600.jpg | https://i.ebayimg.com/images/g/aMMAAOSwzYplDSR5/s-l1600.jpg | https://i.ebayimg.com/images/g/i1oAAOSwN~hlDSR4/s-l1600.jpg,Silver,,4.0,Cables & Chargers
C1-04-01,USAMS Braided USB To Lightning Fast Charging Cable Data Cord For iPhone iPad (Black),USAMS,https://i.ebayimg.com/images/g/FCcAAOSw2-tlEo0h/s-l1600.jpg | https://i.ebayimg.com/images/g/hgEAAOSwDiZlEovO/s-l1600.jpg | https://i.ebayimg.com/images/g/TB0AAOSw93hlEovO/s-l1600.jpg | https://i.ebayimg.com/images/g/6lEAAOSwCrJlEovO/s-l1600.jpg | https://i.ebayimg.com/images/g/uwAAAOSwep5lEovO/s-l1600.jpg | https://i.ebayimg.com/images/g/7zwAAOSwt2llEovO/s-l1600.jpg,,,4.0,Cables & Chargers
