PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
E0-14-09,Airpods earbuds cover Airpods 3 Teal,Generic,https://i.ebayimg.com/images/g/bVAAAOSwanhlP1cX/s-l1600.webp,Teal,7.99,2.0,Other Accessories
E0-11-09,Airpods earbuds cover Airpods 3 White,Generic,https://i.ebayimg.com/images/g/bVAAAOSwanhlP1cX/s-l1600.webp,White,7.99,2.0,Other Accessories
E3-08-11,Airpods SIlicone Case Airpods 1/2 Light Blue,Generic,https://i.ebayimg.com/images/g/gzAAAOSwX0FlpK~A/s-l1600.webp,Light Blue,10.49,2.0,Other Accessories
E3-12-11,Airpods SIlicone Case Airpods 1/2 Green,Generic,https://i.ebayimg.com/images/g/CdsAAOSwlfBlpK~G/s-l1600.webp,Midnight Green,10.49,2.0,Other Accessories
E3-12-09,Airpods SIlicone Case Airpods 3 Pink,Generic,https://i.ebayimg.com/images/g/unEAAOSwkvNlpK-F/s-l1600.webp,Pink,10.49,2.0,Other Accessories
E3-12-03,Airpods SIlicone Case Airpods 3 Pink,Generic,https://i.ebayimg.com/images/g/unEAAOSwkvNlpK-F/s-l1600.webp,Pink,10.49,2.0,Other Accessories
E3-12-08,Airpods SIlicone Case Airpods 3 Light Blue,Generic,https://i.ebayimg.com/images/g/gzAAAOSwX0FlpK~A/s-l1600.webp,Light Blue,10.49,2.0,Other Accessories
E3-12-10,Airpods SIlicone Case Airpods 3 Green,Generic,https://i.ebayimg.com/images/g/CdsAAOSwlfBlpK~G/s-l1600.webp,Midnight Green,10.49,2.0,Other Accessories
E3-11-02,Airpods SIlicone Case Airpods Pro Pink,Generic,https://i.ebayimg.com/images/g/unEAAOSwkvNlpK-F/s-l1600.webp,Pink,10.49,2.0,Other Accessories
E0-08-05,Apple AirTag Silicone Case Protective Cover Location Tracker Keychain Holder Sleeve (Pink),Generic,https://i.ebayimg.com/images/g/agwAAOSwe79k1Oy1/s-l1600.jpg | https://i.ebayimg.com/images/g/dzMAAOSw7-Rk1Oxf/s-l1600.jpg | https://i.ebayimg.com/images/g/KU0AAOSwEJ5k1Oxg/s-l1600.jpg | https://i.ebayimg.com/images/g/WMcAAOSw1~dk1Oxe/s-l1600.jpg | https://i.ebayimg.com/images/g/CJAAAOSwFQ5k1Oxd/s-l1600.jpg,,,2.0,Other Accessories
