PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
B4-01-01,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*120mm*0.5mm),Thermalright,https://i.ebayimg.com/images/g/MZIAAOSw8Bdk~rWK/s-l1600.jpg | https://i.ebayimg.com/images/g/Px4AAOSw7nxk~q1d/s-l1600.jpg | https://i.ebayimg.com/images/g/jwoAAOSwfchk~q1b/s-l1600.jpg | https://i.ebayimg.com/images/g/V~kAAOSwIKlk~q1c/s-l1600.jpg | https://i.ebayimg.com/images/g/WUcAAOSwws5k~q1a/s-l1600.jpg | https://i.ebayimg.com/images/g/NHkAAOSwc2Zk~q1b/s-l1600.jpg,120*120*0.5mm,,,PC Accessories
B4-01-03,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*120mm*1.0mm),Thermalright,https://i.ebayimg.com/images/g/MZIAAOSw8Bdk~rWK/s-l1600.jpg | https://i.ebayimg.com/images/g/Px4AAOSw7nxk~q1d/s-l1600.jpg | https://i.ebayimg.com/images/g/jwoAAOSwfchk~q1b/s-l1600.jpg | https://i.ebayimg.com/images/g/V~kAAOSwIKlk~q1c/s-l1600.jpg | https://i.ebayimg.com/images/g/WUcAAOSwws5k~q1a/s-l1600.jpg | https://i.ebayimg.com/images/g/NHkAAOSwc2Zk~q1b/s-l1600.jpg,120*120*1.0mm,,,PC Accessories
B4-01-02,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*120mm*1.5mm),Thermalright,https://i.ebayimg.com/images/g/MZIAAOSw8Bdk~rWK/s-l1600.jpg | https://i.ebayimg.com/images/g/Px4AAOSw7nxk~q1d/s-l1600.jpg | https://i.ebayimg.com/images/g/jwoAAOSwfchk~q1b/s-l1600.jpg | https://i.ebayimg.com/images/g/V~kAAOSwIKlk~q1c/s-l1600.jpg | https://i.ebayimg.com/images/g/WUcAAOSwws5k~q1a/s-l1600.jpg | https://i.ebayimg.com/images/g/NHkAAOSwc2Zk~q1b/s-l1600.jpg,120*120*1.5mm,,,PC Accessories
B4-01-05,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*120mm*2.0mm),Thermalright,https://i.ebayimg.com/images/g/MZIAAOSw8Bdk~rWK/s-l1600.jpg | https://i.ebayimg.com/images/g/Px4AAOSw7nxk~q1d/s-l1600.jpg | https://i.ebayimg.com/images/g/jwoAAOSwfchk~q1b/s-l1600.jpg | https://i.ebayimg.com/images/g/V~kAAOSwIKlk~q1c/s-l1600.jpg | https://i.ebayimg.com/images/g/WUcAAOSwws5k~q1a/s-l1600.jpg | https://i.ebayimg.com/images/g/NHkAAOSwc2Zk~q1b/s-l1600.jpg,120*120*2.0mm,,,PC Accessories
B4-01-04,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*120mm*2.5mm),Thermalright,https://i.ebayimg.com/images/g/MZIAAOSw8Bdk~rWK/s-l1600.jpg | https://i.ebayimg.com/images/g/Px4AAOSw7nxk~q1d/s-l1600.jpg | https://i.ebayimg.com/images/g/jwoAAOSwfchk~q1b/s-l1600.jpg | https://i.ebayimg.com/images/g/V~kAAOSwIKlk~q1c/s-l1600.jpg | https://i.ebayimg.com/images/g/WUcAAOSwws5k~q1a/s-l1600.jpg | https://i.ebayimg.com/images/g/NHkAAOSwc2Zk~q1b/s-l1600.jpg,120*120*2.5mm,,,PC Accessories
B4-01-06,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*120mm*3.0mm),Thermalright,https://i.ebayimg.com/images/g/MZIAAOSw8Bdk~rWK/s-l1600.jpg | https://i.ebayimg.com/images/g/Px4AAOSw7nxk~q1d/s-l1600.jpg | https://i.ebayimg.com/images/g/jwoAAOSwfchk~q1b/s-l1600.jpg | https://i.ebayimg.com/images/g/V~kAAOSwIKlk~q1c/s-l1600.jpg | https://i.ebayimg.com/images/g/WUcAAOSwws5k~q1a/s-l1600.jpg | https://i.ebayimg.com/images/g/NHkAAOSwc2Zk~q1b/s-l1600.jpg,120*120*3.0mm,,,PC Accessories
B4-02-01-A,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*20mm*0.5mm),Thermalright,https://i.ebayimg.com/images/g/8ysAAOSwNcdk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/T0AAAOSwkJlk~rgn/s-l1600.jpg | https://i.ebayimg.com/images/g/Oz4AAOSwPMhk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/yEEAAOSwuGtk~rgm/s-l1600.jpg | https://i.ebayimg.com/images/g/u9wAAOSwWRVk~rgk/s-l1600.jpg | https://i.ebayimg.com/images/g/QZUAAOSwew5k~rgl/s-l1600.jpg,120*20*0.5mm,,,PC Accessories
B4-02-02-A,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*20mm*1.0mm),Thermalright,https://i.ebayimg.com/images/g/8ysAAOSwNcdk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/T0AAAOSwkJlk~rgn/s-l1600.jpg | https://i.ebayimg.com/images/g/Oz4AAOSwPMhk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/yEEAAOSwuGtk~rgm/s-l1600.jpg | https://i.ebayimg.com/images/g/u9wAAOSwWRVk~rgk/s-l1600.jpg | https://i.ebayimg.com/images/g/QZUAAOSwew5k~rgl/s-l1600.jpg,120*20*1.0mm,,,PC Accessories
B4-02-01-B,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*20mm*1.5mm),Thermalright,https://i.ebayimg.com/images/g/8ysAAOSwNcdk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/T0AAAOSwkJlk~rgn/s-l1600.jpg | https://i.ebayimg.com/images/g/Oz4AAOSwPMhk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/yEEAAOSwuGtk~rgm/s-l1600.jpg | https://i.ebayimg.com/images/g/u9wAAOSwWRVk~rgk/s-l1600.jpg | https://i.ebayimg.com/images/g/QZUAAOSwew5k~rgl/s-l1600.jpg,120*20*1.5mm,,,PC Accessories
B4-02-03-A,Thermalright EXTREME ODYSSEY Thermalpad Heat Dissipation CPU/GPU Pad (120mm*20mm*2.0mm),Thermalright,https://i.ebayimg.com/images/g/8ysAAOSwNcdk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/T0AAAOSwkJlk~rgn/s-l1600.jpg | https://i.ebayimg.com/images/g/Oz4AAOSwPMhk~rgp/s-l1600.jpg | https://i.ebayimg.com/images/g/yEEAAOSwuGtk~rgm/s-l1600.jpg | https://i.ebayimg.com/images/g/u9wAAOSwWRVk~rgk/s-l1600.jpg | https://i.ebayimg.com/images/g/QZUAAOSwew5k~rgl/s-l1600.jpg,120*20*2.0mm,,,PC Accessories
