PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
H2-01-01, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,grey (XS),20.99,5.0,Pet Products
H1-01-03, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,red (XS),20.99,5.0,Pet Products
I1-03-02, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Brown (XS),20.99,5.0,Pet Products
I1-03-05, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Army blue (XS),20.99,5.0,Pet Products
H2-01-07, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Purple (XS),20.99,5.0,Pet Products
I1-05-07, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Gold (XS),20.99,5.0,Pet Products
I1-05-01, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Khaki (XS),20.99,5.0,Pet Products
H1-02-06, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Blue (S),20.99,5.0,Pet Products
H2-02-01, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,grey (S),20.99,5.0,Pet Products
H1-02-03, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,red (S),20.99,5.0,Pet Products
I1-04-02, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Brown (S),20.99,5.0,Pet Products
