PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
A2-01-01 x1 + B2-01-04 x2,NUGLAS iPhone 14 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 14 Pro Max ,25.99,4.0,Tempered Glass
A2-01-02 x1 + B2-01-04 x2,NUGLAS iPhone 14 Pro Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 14 Pro ,25.99,4.0,Tempered Glass
A2-01-03 x1 + B2-06-03 x2,NUGLAS iPhone 14 Plus Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 14 Plus ,25.99,4.0,Tempered Glass
A2-01-04 x1 + B2-06-03 x2,NUGLAS iPhone 14 Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 14 ,25.99,4.0,Tempered Glass
A2-01-03.x1 + B2-04-03 x2,NUGLAS iPhone 13 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 13 Pro Max ,25.99,4.0,Tempered Glass
A2-01-04. x1 + B2-04-03 x2,NUGLAS iPhone 13 Pro Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 13 Pro ,25.99,4.0,Tempered Glass
A2-01-04..x1 + B2-02-03 x2,NUGLAS iPhone 13 Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 13 ,25.99,4.0,Tempered Glass
A2-01-05 x1 + B2-02-03 x2,NUGLAS iPhone 13 Mini Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 13 Mini ,25.99,4.0,Tempered Glass
A2-01-06 x1 + B2-07-02 x2,NUGLAS iPhone 12 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 12 Pro Max ,25.99,4.0,Tempered Glass
A2-02-01 x1 + B2-05-02 x2,NUGLAS iPhone 12 Pro Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,iPhone 12 Pro ,25.99,4.0,Tempered Glass
