PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
F5-01-01,Apple Watch Auto Stick Tempered Glass Screen Protector 38mm Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-01-02,Apple Watch Auto Stick Tempered Glass Screen Protector 40 mm Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-02-01,Apple Watch Auto Stick Tempered Glass Screen Protector 41mm Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-02-02,Apple Watch Auto Stick Tempered Glass Screen Protector 42mm Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-03-01,Apple Watch Auto Stick Tempered Glass Screen Protector 44mm Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-03-02,Apple Watch Auto Stick Tempered Glass Screen Protector 45mm Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-04-01/ F5-04-02,Apple Watch Auto Stick Tempered Glass Screen Protector 49mm (Ultra 1) Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F5-05-01,Apple Watch Auto Stick Tempered Glass Screen Protector 49mm (Ultra 2) Clear,Generic,https://www.ptcshop.com.au/cdn/shop/files/1_3_7f15c5c0-f5b8-4a7b-83d0-8ad43d608ccd.jpg?v=1700816986&width=800,,14.9,2.0,Watch Accessories
F3-04-05,"Nike Sports Strap iWatch Band For Apple Watch Series 9 8 7 6 5 4 SE (38/40/41mm, Purple)",Generic,https://i.ebayimg.com/images/g/q7wAAOSwn3pm4Uqf/s-l1600.webp | https://i.ebayimg.com/images/g/g9sAAOSwxVdm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/ZZAAAOSwirhm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/kG0AAOSwP8dm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/GikAAOSwaOZm3-fx/s-l1600.webp | https://i.ebayimg.com/images/g/BEwAAOSwpr1m3-fx/s-l1600.webp | https://i.ebayimg.com/images/g/u9gAAOSwrGxm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/-VUAAOSwhCRm3-fx/s-l1600.webp ,Purple,9.9,2.0,Watch Accessories
F3-05-05,"Nike Sports Strap iWatch Band For Apple Watch Series 9 8 7 6 5 4 SE (38/40/41mm, Pink)",Generic,https://i.ebayimg.com/images/g/ZA8AAOSwqQNm3-zz/s-l1600.webp | https://i.ebayimg.com/images/g/g9sAAOSwxVdm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/ZZAAAOSwirhm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/kG0AAOSwP8dm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/GikAAOSwaOZm3-fx/s-l1600.webp | https://i.ebayimg.com/images/g/BEwAAOSwpr1m3-fx/s-l1600.webp | https://i.ebayimg.com/images/g/u9gAAOSwrGxm3-fw/s-l1600.webp | https://i.ebayimg.com/images/g/-VUAAOSwhCRm3-fx/s-l1600.webp ,Pink,9.9,2.0,Watch Accessories
