PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
E00-09-08 +E00-09-11,Wallet Iphone 8/SE2/SE3 blue,Generic,https://i.ebayimg.com/images/g/g64AAOSwM0xjRHvu/s-l400.jpg,Blue,14.9,2.0,Phone Case
I4-05-00-A,Lens Protector Case 11 Black,Generic,https://i.ebayimg.com/images/g/ev8AAOSwlkdk2x5C/s-l1600.webp,Black,14.9,2.0,Phone Case
I4-06-00-A,Lens Protector Case 11 Blue,Generic,https://i.ebayimg.com/images/g/39oAAOSwIaRk2x4j/s-l1600.webp,Blue,14.9,2.0,Phone Case
I4-08-00-A,Lens Protector Case 11 Gold,Generic,https://i.ebayimg.com/images/g/NYEAAOSwOy1k2x4s/s-l1600.webp,Gold,14.9,2.0,Phone Case
I4-08-00-B,Lens Protector Case 11 Green,Generic,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,Green,14.9,2.0,Phone Case
I4-08-00-B.,Lens Protector Case 11 Light green,Generic,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,Light Green,14.9,2.0,Phone Case
H4-01-08-A,Lens Protector Case 11 pro Black,Generic,https://i.ebayimg.com/images/g/ev8AAOSwlkdk2x5C/s-l1600.webp,Black,14.9,2.0,Phone Case
H4-02-08-A,Lens Protector Case 11 pro Blue,Generic,https://i.ebayimg.com/images/g/39oAAOSwIaRk2x4j/s-l1600.webp,Blue,14.9,2.0,Phone Case
H4-04-08-A,Lens Protector Case 11 pro Gold,Generic,https://i.ebayimg.com/images/g/NYEAAOSwOy1k2x4s/s-l1600.webp,Gold,14.9,2.0,Phone Case
H4-04-08-B,Lens Protector Case 11 pro Green,Generic,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,Green,14.9,2.0,Phone Case
H4-04-08-B,Lens Protector Case 11 pro Light green,Generic,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,Light Green,14.9,2.0,Phone Case
H4-05-08-A,Lens Protector Case 11 pro max Black,Generic,https://i.ebayimg.com/images/g/ev8AAOSwlkdk2x5C/s-l1600.webp,Black,14.9,2.0,Phone Case
H4-06-08-A,Lens Protector Case 11 pro max Blue,Generic,https://i.ebayimg.com/images/g/39oAAOSwIaRk2x4j/s-l1600.webp,Blue,14.9,2.0,Phone Case
H4-08-08-A,Lens Protector Case 11 pro max Gold,Generic,https://i.ebayimg.com/images/g/NYEAAOSwOy1k2x4s/s-l1600.webp,Gold,14.9,2.0,Phone Case
H4-08-08-B,Lens Protector Case 11 pro max Green,Generic,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,Green,14.9,2.0,Phone Case
H4-08-08-B,Lens Protector Case 11 pro max Light green,Generic,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,Light Green,14.9,2.0,Phone Case
H4-07-08-A,Lens Protector Case 11 pro max Purple,Generic,https://i.ebayimg.com/images/g/K2IAAOSwOLFk2x5T/s-l1600.webp,Purple,14.9,2.0,Phone Case
H4-06-08-B,Lens Protector Case 11 pro max Red,Generic,https://i.ebayimg.com/images/g/3DcAAOSwaGZk2x45/s-l1600.webp,Red,14.9,2.0,Phone Case
H4-05-08-B,Lens Protector Case 11 pro max Silver,Generic,https://i.ebayimg.com/images/g/pPEAAOSwG-dk2x30/s-l1600.webp,Silver,14.9,2.0,Phone Case
H4-07-08-B,Lens Protector Case 11 pro max Transparent,Generic,https://i.ebayimg.com/images/g/BAYAAOSwyadk2x3l/s-l1600.webp,Transparent,14.9,2.0,Phone Case
H4-03-08-A,Lens Protector Case 11 pro Purple,Generic,https://i.ebayimg.com/images/g/K2IAAOSwOLFk2x5T/s-l1600.webp,Purple,14.9,2.0,Phone Case
H4-02-08-B,Lens Protector Case 11 pro Red,Generic,https://i.ebayimg.com/images/g/3DcAAOSwaGZk2x45/s-l1600.webp,Red,14.9,2.0,Phone Case
